actor,movie,new_actor
Aftab Shivdasani,Aao Wish Karein,No
Aftab Shivdasani,Darwaza Bandh Rakho,No
Aftab Shivdasani,Koi Aap Sa,No
Aftab Shivdasani,Aloo Chaat,No
Aftab Shivdasani,Ankahee,No
Aftab Shivdasani,Red - The Dark Side,No
Ahsaas Channa,My Friend Ganesha,No
Aishwarya Rai,Umrao Jaan,No
Aishwarya Rai,Provoked,No
Aishwarya Rai,The Mistress Of Spices,No
Ajay Devgn,U Me Aur Hum,No
Ajay Devgn,Shivaay,No
Ajay Devgn,Blackmail,No
Ajay Devgn,Cash,No
Ajay Devgn,Atithi Tum Kab Jaoge?,No
Ajay Devgn,Son Of Sardaar,No
Ajay Devgn,Rascals,No
Ajay Devgn,Main Aisa Hi Hoon,No
Ajay Devgn,Shikhar,No
Ajay Devgn,Insan,No
Ajay Devgn,Zameer - The Fire Within,No
Ajay Devgn,Toonpur Ka Superrhero,No
Ajay Devgn,Dil Toh Baccha Hai Ji,No
Ajay Devgn,Tango Charlie,No
Ajay Devgn,Once Upon A Time In Mumbaai,No
Ajay Devgn,Baadshaho,No
Ajay Devgn,Drishyam,No
Ajay Devgn,Action Jackson,No
Ajay Devgn,Apaharan,No
Ajay Devgn,Satyagraha,No
Ajay Devgn,Aakrosh,No
Ajay Devgn,Tezz,No
Ajay Devgn,Halla Bol,No
Ajay Devgn,Golmaal - Fun Unlimited,No
Ajay Devgn,Sunday,No
Ajay Devgn,Golmaal Returns,No
Ajay Devgn,All The Best - Fun Begins,No
Ajay Devgn,Golmaal 3,No
Ajay Devgn,Singham,No
Ajay Devgn,Bol Bachchan,No
Ajay Devgn,Singham Returns,No
Ajay Devgn,Golmaal Again,No
Ajay Devgn,Himmatwala,No
Ajay Devgn,Kaal,No
Ajay Devgn,Omkara,No
Ajay Jadeja,Pal Pal Dil Ke Ssaat,No
Ajay Kumar,Boyfriend.com,Yes
Ajay Shukla,Jeet Lenge Jahaan,Yes
Ajay Sinh Rathod,Angry Young Man,Yes
Ajay Soni,Jai Balaji Mehndipur Wale,Yes
Ajaz Khan,The World Of Fashion,Yes
Ajaz Khan,Lakeer Ka Fakeer,No
Akanksha Puri,Calendar Girls,Yes
Akash,Bloody Isshq,Yes
Akbar Khan,Faraar,Yes
Akshay Kapoor,Alag,No
Akshay Kumar,Holiday - A Soldier Is Never Off Duty,No
Akshay Kumar,The Shaukeens,No
Akshay Kumar,Welcome,No
Akshay Kumar,Singh Is Kinng,No
Akshay Kumar,Thank You,No
Akshay Kumar,Blue,No
Akshay Kumar,Boss,No
Akshay Kumar,Khiladi 786,No
Akshay Kumar,Bewafaa,No
Akshay Kumar,Tees Maar Khan,No
Akshay Kumar,Entertainment,No
Akshay Kumar,Housefull 3,No
Akshay Kumar,Brothers,No
Akshay Kumar,Jumbo,No
Akshay Kumar,Gabbar Is Back,No
Akshay Kumar,Once Upon A Time In Mumbaai Dobaara!,No
Akshay Kumar,8 x 10 Tasveer,No
Akshay Kumar,Special 26,No
Akshay Kumar,Baby,No
Akshay Kumar,Phir Hera Pheri,No
Akshay Kumar,Chandni Chowk To China,No
Akshay Kumar,Patiala House,No
Akshay Kumar,Rowdy Rathore,No
Akshay Kumar,Singh Is Bling,No
Akshay Kumar,Garam Masala,No
Akshay Kumar,Bhagam Bhag,No
Akshay Kumar,Bhool Bhulaiyaa,No
Akshay Kumar,De Dana Dan,No
Akshay Kumar,Khatta Meetha,No
Akshay Kumar,Humko Deewana Kar Gaye,No
Akshay Kumar,Family - Ties of Blood,No
Akshay Kumar,Desi Boyz,No
Akshay Kumar,Kambakkht Ishq,No
Akshay Kumar,Heyy Babyy,No
Akshay Kumar,Housefull,No
Akshay Kumar,Housefull 2,No
Akshay Kumar,Jaan-E-Mann,No
Akshay Kumar,Joker,No
Akshay Kumar,Toilet Ek Prem Katha,No
Akshay Kumar,Jolly LLB 2,No
Akshay Kumar,Dosti - Friends Forever,No
Akshay Kumar,Mere Jeevan Saathi,No
Akshay Kumar,OMG! Oh My God,No
Akshay Kumar,Tashan,No
Akshay Kumar,Deewane Huye Paagal,No
Akshay Kumar,Waqt - The Race Against Time,No
Akshay Kumar,Namastey London,No
Akshay Kumar,Action Replayy,No
Akshay Oberoi,Pizza,No
Akshay Oberoi,Isi Life Mein...!,Yes
Akshaye Khanna,36 China Town,No
Akshaye Khanna,Naqaab,No
Akshaye Khanna,Dahek,No
Akshaye Khanna,Aap Ki Khatir,No
Akshaye Khanna,Gandhi My Father,No
Akshaye Khanna,Short Kut - The Con Is On,No
Akshaye Khanna,Mere Baap Pehle Aap,No
Akshaye Khanna,Shaadi Se Pehle,No
Akshita,Vatsayanana Kamasutra - 2,Yes
Aksshat,Mr. Majnu,Yes
Al Amin,Romeo Bola Pyar Ki Aisi Ki Taisi,Yes
Ali Fazal,Sonali Cable,No
Ali Fazal,Khamoshiyan,No
Ali Fazal,Always Kabhi Kabhi,Yes
Ali Fazal,Baat Ban Gayi,No
Ali Zafar,Tere Bin Laden,Yes
Ali Zafar,London Paris New York,No
Ali Zafar,Chasme Baddoor,No
Ali Zafar,Total Siyaapa,No
Alia Bhatt,Dear Zindagi,No
Alia Shah,Kkamjori - The Weakness,Yes
Alma Grey,Karma: Crime. Passion. Reincarnation,Yes
Amaan Khan,Ek Baar Dhol Bajao Na,Yes
Aman Sagar,Kamsin - The Untouched,No
Amar Sidhu,Aakhari Decision,Yes
Amarjeet,Iqraar By Chance,Yes
Amarjeet,Runway,No
Amit Hotchandani,Me Mamu & 7,Yes
Amit Kapoor,Hot Maliaka,No
Amit Kapoor,Garam Saansein,No
Amit Kapoor,Bach Ke Zaraa,No
Amit Pachori,Kaam Milan,No
Amit Pachori,Agni Prem,No
Amit Purohit,Aalaap,Yes
Amit Rao,Miss Anara,Yes
Amit Riyaan,332 Mumbai to India,Yes
Amit Sadh,Running Shaadi,No
Amit Sharma,Ek Gumrah,Yes
Amitabh Bachchan,1971,No
Amitabh Bachchan,Pink,No
Amitabh Bachchan,Yaar Meri Zindagi,No
Amitabh Bachchan,Teen Patti,No
Amitabh Bachchan,Viruddh... Family Comes First,No
Amitabh Bachchan,Bhoothnath Returns,No
Amitabh Bachchan,Bbuddah Hoga Terra Baap,No
Amitabh Bachchan,Cheeni Kum,No
Amitabh Bachchan,Paa,No
Amitabh Bachchan,Shamitabh,No
Amitabh Bachchan,Sarkar,No
Amitabh Bachchan,Nishabd,No
Amitabh Bachchan,Ram Gopal Varma Ki Aag,No
Amitabh Bachchan,Sarkar Raj,No
Amitabh Bachchan,Sarkar 3,No
Amitabh Bachchan,The Last Lear,No
Amitabh Bachchan,Dil Jo Bhi Kahey,No
Amitabh Bachchan,Black,No
Amitabh Bachchan,Piku - Motion Se Hi Emotion,No
Amitabh Bachchan,Eklavya - The Royal Guard,No
Amitabh Bachchan,Bhoothnath,No
Anand Tiwari,Jo Dooba So Paar,Yes
Anant Mahadevan,Staying Alive,Yes
Ananya Khare,Ghazab Nagariya,No
Anara Gupta,C D Kaand,No
Anay,Happy Husbands,Yes
Anil Kapoor,No Entry,No
Anil Kapoor,No Problem,No
Anil Kapoor,My Wife's Murder,No
Anil Kapoor,Black & White,No
Anirudh Loka,Mere Haule Dost,Yes
Anita Kanwal,Om Dar-B-Dar,Yes
Ankur Khanna,Admission Open,No
Ankush Choudhary,City Of Gold - Mumbai 1982: Ek Ankahi Kahani,Yes
Anmol Singh,Kahani Ek Sangharsh Ki,Yes
Anshuman Jha,Yeh Hai Bakrapur,No
Antara Mali,Mr Ya Miss,No
Anu Kapoor,Miss Tanakpur Haazir Ho,Yes
Anu Kashyap,Yeshu Palanhar,No
Anubhav Anand,Perfect Mismatch,Yes
Anuj Mishra,Resham Dunkkk,Yes
Anuj Pandit,Chhutanki,Yes
Anuj Sawhney,3 Nights 4 Days,No
Anuj Saxena,Chase,No
Anuj Saxena,Paranthe Wali Gali,No
Anupam Kher,Morning Walk,No
Anupam Kher,Khosla Ka Ghosla,No
Anupam Kher,Maine Gandhi Ko Nahin Mara,No
Anupam Kher,Mr. Bhatti On Chutti,No
Anupam Kher,Yeh Mera India,No
Anupam Kher,Ekkees Toppon Ki Salaami,No
Anupam Kher,American Blend,No
Apurv Ratan,Sai Yatraa - A Religious Love Story,Yes
Arayan Singh,Retake,Yes
Arbaaz Khan,Prem Kaa Game,No
Arbaaz Khan,Kisaan,No
Arbaaz Khan,Tera Intezaar,No
Arif Zakaria,Dee Saturday Night,No
Arjun Chakraborty,Chalo Picnic Manayen,Yes
Arjun Gaur,I'm In Love,Yes
Arjun Kapoor,2 States,No
Arjun Kapoor,Tevar,No
Arjun Kapoor,Mubarakan,No
Arjun Kapoor,Aurangzeb,No
Arjun Kapoor,Ishaqzaade,Yes
Arjun Kapoor,Half Girlfriend,No
Arjun Punj,Time Pass,No
Arjun Rampal,Ek Ajnabee,No
Arjun Rampal,Daddy,No
Arjun Rampal,D Day,No
Arjun Rampal,Chakravyuh,No
Arjun Rampal,Vaada,No
Arjun Rampal,Inkaar,No
Arjun Rampal,Elaan,No
Arjun Rampal,I See You,No
Armaan Jain,Lekar Hum Deewana Dil,Yes
Arman,Yeh Figure Hai,Yes
Arsh Deol,Bin Phere Free Me Ttere,Yes
Arshad Warsi,Kisse Pyaar Karoon,No
Arshad Warsi,Rabba Main Kya Karoon,No
Arshad Warsi,Welcome 2 Karachi,No
Arshad Warsi,Krazzy 4,No
Arshad Warsi,Sehar,No
Arshad Warsi,Hum Tum Aur Ghost,No
Arshad Warsi,Anthony Kaun Hai?,No
Arshad Warsi,Kuchh Meetha Ho Jaye,No
Arshad Warsi,Mr. Joe B. Carvalho,No
Arshad Warsi,Jolly LLB,No
Arshad Warsi,Guddu Rangeela,No
Arshad Warsi,Ek Se Bure Do,No
Arunoday Singh,Mirch,Yes
Arvindo,Charitraheen - Ek Naari Ki Vyatha,No
Arya Babbar,Paapi - Ek Satya Katha,No
Aryan Singh,Raftaar - An Obsession,Yes
Aryan Vaid,Aisa Kyon Hota Hai,No
Aryan Vaid,Mr. 100% - The Real Player,No
Aryan Vaid,Ghutan,No
Aryeman Ramsay,Good Luck,No
Aryeman Ramsay,It's Rocking Dard-E-Disco,No
Aryeman Ramsay,Ek Aadat,No
Aseem Ali Khan,Kyun Hua Achanak,Yes
Asha Bhonsle,Mai,Yes
Ashima Sharma,Mumbai Can Dance Saalaa,Yes
Ashish Lal,With Love. Delhi!,Yes
Ashmit Patel,Nazar,No
Ashmit Patel,Saanwariya - Khatu Shyamji Ki Amar Gaatha,No
Ashok Kumar,Love In Bombay,No
Ashraf Khan,College Campus,Yes
Ashrita Agarwaal,Vidhata Tere Khel Hain Nirale,Yes
Ashutosh Rana,Coffee House,No
Ashutosh Rana,Shabnam Mousi,No
Attin Bhalla,Dhadkanein,No
Atul Kulkarni,Gauri The Unborn,No
Atul Kulkarni,Manasarovar,No
Atul Kulkarni,Aagaah - The Warning,No
Atul Kulkarni,Bumm Bumm Bole,No
Aushim Khetarpal,Baba Ramsaa Peer,No
Avinash Bhargava,Zindagi Jalebi,Yes
Ayaan Ahmad,Ada....A Way of life,Yes
Ayesha Takia,Dor,No
Ayesha Takia,Mod,No
Ayub Khan,Sarfaroshi - A War Against System,No
Ayushman Khurana,Meri Pyaari Bindu,No
Ayushman Khurana,Bareilly Ki Barfi,No
Ayushman Khurana,Bewakoofiyaan,No
Ayushman Khurana,Shubh Mangal Saavdhan,No
Ayushman Khurana,Nautanki Saala,No
Ayushman Khurana,Dum Laga Ke Haisha,No
Ayushman Khurana,Vicky Donor,Yes
Ayushman Khurana,Hawaizaada,No
Azim,Qasam Se Qasam Se,Yes
Barun Sobti,Main Aur Mr. Riight,Yes
Bhagyashree,Janani,No
Bharat,Wife Hai To Life Hai,Yes
Bhoop Yaduvanshi,Cigarette Ki Tarah,Yes
Bipasha Basu,Aatma,No
Bipasha Basu,Corporate,No
Bipasha Basu,Chehraa,No
Bipasha Basu,Pankh,No
Bipasha Basu,Creature 3D,No
Biswaroop Roy Chowdhary,Yaad Rakhenge Aap,Yes
Bobby Deol,Humko Tumse Pyaar Hai,No
Bobby Deol,Chamku,No
Bobby Deol,Help,No
Bobby Deol,Nanhe Jaisalmer,No
Bobby Deol,Vaada Raha...,No
Bobby Deol,Ek - The Power Of One,No
Bobby Deol,Barsaat,No
Bobby Deol,Shaka Laka Boom Boom,No
Bobby Deol,Jurm,No
Bobby Khan,London Calling,No
Boman Irani,Santa Banta Pvt. Ltd.,No
Boman Irani,Shirin Farhad Ki Toh Nikal Padi,No
Boman Irani,Well Done Abba,No
Buali Shah,Ooops A Desi,Yes
Celina Jaitley,Accident On Hill Road,No
Chahat Khanna,Ek Main Ek Tum,No
Chaitanya Naidu,MLA,Yes
Chaman Jackson,Laash - The Deadly Revenge,Yes
Chandan Roy Sanyal,Prague,No
Chandan Roy Sanyal,Love You To Death,No
Chandrachur Singh,Maruti Mera Dosst,No
Chandrachur Singh,Prem Mayee,No
Chinmay Mandlekar,Mokssh,Yes
Chirag Paswan,Miley Naa Miley Hum,Yes
Chirag Patil,Wake Up India,No
Cyrus Broacha,Fruit & Nut,Yes
Danny Denzongpa,Frozen,No
Darshan Jariwala,Dilli Gang,No
Darsheel Safary,Zokkomon,No
Debashree,Today Expose,Yes
Deep,Diwangi Ne Had Kar Di,Yes
Deep Bhattacharya,The Light - Swami Vivekananda,Yes
Deepak Dobriyal,Daayen Ya Baayen,No
Deepak Dobriyal,Chor Chor Super Chor,No
Deepak Dobriyal,Chal Bhaag,No
Deepal Shaw,Vikalp,No
Deepika Padukone,Finding Fanny,No
Deepshika,Yeh Dooriyaan,No
Deepti Naval,Rivaaz,No
Deepti Naval,Memories in March,No
Delzad Hiwale,Bubble Gum,Yes
Dev Anand,Mr. Prime Minister,No
Dev Anand,Chargesheet,No
Dev Anand,Aman Ke Farisshtey,No
Dev Gill,Karavaas - The Punishment,No
Devasish Ray,9 Eleven,Yes
Devi,Jalsa Ghar Ki Devi,Yes
Dhananjay,Ram Balram Aur Ramkali,Yes
Dhanush,Raanjhanaa,Yes
Dharmendra,Second Hand Husband,No
Dheren Kushesh Rusto,Humraah - The Traitor,Yes
Dia Mirza,Naam Gum Jaayega,No
Dibyendu Bhattacharya,B.A. Pass,No
Dibyendu Bhattacharya,Pairon Talle,No
Diljit Dosanjh,Phillauri,Yes
Dilzan Wadia,Bollywood Villa,No
Dilzan Wadia,Phir Aik Saazish,No
Dimple Kapadia,What The Fish,No
Dimple Sevak,Har Raat Naya Saudagar,No
Dinesh Mehta,Maya Ya Maut,Yes
Dino Morea,Anamika,No
Dino Morea,Tom Dick and Harry,No
Dino Morea,Gumnaam - The Mystery,No
Dino Morea,Bhram,No
Dino Morea,Holiday,No
Dino Morea,Life Mein Kabhi Kabhiee,No
Disha Chaudhary,Anuradha - Aur Uski Kahaani,Yes
Divvj Kak,Pehli Nazar Ka Pyaar,No
Divvj Kak,Saathi - The Companion,Yes
Divya Dutta,Kahaani Gudiya Ki...,No
Divya Dutta,Monica,No
Divya Dutta,Shobhayatra,No
Eijaz Khan,Lucky Kabootar,No
Eisha Deol,Tell Me O Kkhuda,Yes
Emraan Hashmi,Aashiq Banaye Aapne,No
Emraan Hashmi,Dil Diya Hai,No
Emraan Hashmi,Aksar,No
Emraan Hashmi,Azhar,No
Emraan Hashmi,Gangster - A Love Story,No
Emraan Hashmi,Good Boy Bad Boy,No
Emraan Hashmi,Shanghai,No
Emraan Hashmi,Jannat,No
Emraan Hashmi,Tum Mile,No
Emraan Hashmi,Jannat 2,No
Emraan Hashmi,Raja Natwarlal,No
Emraan Hashmi,Jawani Diwani - A Youtful Joyride,No
Emraan Hashmi,Zeher,No
Emraan Hashmi,Awarapan,No
Emraan Hashmi,Raaz - The Mystery Continues,No
Emraan Hashmi,Crook,No
Emraan Hashmi,Murder 2,No
Emraan Hashmi,Hamari Adhuri Kahani,No
Emraan Hashmi,Ghanchakkar,No
Emraan Hashmi,The Killer,No
Emraan Hashmi,The Train,No
Emraan Hashmi,Ungli,No
Emraan Hashmi,Rush,No
Emraan Hashmi,Raaz 3,No
Emraan Hashmi,Mr. X,No
Emraan Hashmi,Raaz Reboot,No
Emraan Hashmi,Chocolate,No
Faheem Ul Haq,Siyaah,Yes
Faisal Khan,Chand Bujh Gaya,No
Fardeen Khan,Shaadi No. 1,No
Fardeen Khan,Just Married,No
Fardeen Khan,Dulha Mil Gaya,No
Fardeen Khan,Jai Veeru,No
Fardeen Khan,Darling,No
Fardeen Khan,Ek Khiladi Ek Haseena,No
Fardeen Khan,Acid Factory,No
Farhan Akhtar,Rock On!!,Yes
Farhan Akhtar,Wazir,No
Farhan Akhtar,Bhaag Milkha Bhaag,No
Farhan Akhtar,Lucknow Central,No
Farhan Akhtar,Shaadi Ke Side Effects,No
Farhan Akhtar,Rock On 2,No
Farhan Akhtar,Karthik Calling Karthik,No
Farhan Akhtar,Luck By Chance,No
Farooque Shaikh,Children Of War,No
Farooque Shaikh,Lahore,No
Farrukh Jaffar,Barefoot To Goa,Yes
Fatima,Main Hoon Durga,Yes
Fawad Khan,Khoobsurat,Yes
Gagan Nimesh,Aaj Ka Fashion Trend,Yes
Ganesh Venkatraman,Tum Ho Yaara,Yes
Garry Gill,Na Jaane Kabse,Yes
Gashmeer Mahajani,Muskurake Dekh Zara,Yes
Gaurav Bajaj,Vroom,Yes
Gaurav Kakkar,Hota Hai Dil Pyaar Mein Paagal,Yes
Gaurav Kapur,Bad Luck Govind,No
Gauri Angel,Bhooton Ki Raasleela,Yes
Gautam Gupta,Go,Yes
Gautam Jadhav,Shoot At Sight,Yes
Gayatri Patel,Let's Dance,Yes
Geoffrey Broderick,Will To Live,Yes
Girish Taurani,Ramaiya Vastavaiya,Yes
Girish Taurani,Loveshhuda,No
Govinda,Sandwich,No
Govinda,Do Knot Disturb,No
Govinda,Money Hai Toh Honey Hai,No
Govinda,Khullam Khulla Pyaar Karen,No
Govinda,Naughty @ 40,No
Govinda,Jahan Jaaeyega Humen Paaeyega,No
Govinda,Deewana Main Deewana,No
Govinda,Ssukh,No
Govinda,Loot,No
Govinda,Life Partner,No
Govinda,Chal Chala Chal,No
Gracy Singh,Yehi Hai Zindagi,No
Gracy Singh,Mahabharat Aur Barbareek,No
Gracy Singh,Chanchal,No
Gracy Singh,Dekh Re Dekh,No
Gracy Singh,Milta Hai Chance By Chance,No
Gracy Singh,Aseema,No
Guddi Maruti,Meri Marzi,Yes
Gul Panag,Hello Darling,No
Gulshan Rana,Red Light,No
Gulshan Rana,The Real Dream Girl,No
Gulzar Inder Chahal,I Am Singh,Yes
Gunj,The Dirty MMS,Yes
Gurdeep Mehndi,Meri Shadi Karao,Yes
Gurmeet Ram Rahim Singh,MSG - The Warrior Lion Heart,No
Gurmeet Ram Rahim Singh,Hind Ka Napak Ko Jawab - MSG Lion Heart-2,No
Gurmeet Ram Rahim Singh,Jattu Engineer,No
Gurmeet Ram Rahim Singh,MSG - The Messenger Of God,Yes
Gurmeet Ram Rahim Singh,MSG 2 - The Messenger,Yes
Gursewak Mann,Banana Brothers,Yes
Hameed Khan,Lateef - The King Of Crime,Yes
Harish Raj,Bengaloored,Yes
Harman Baweja,Victory,No
Harman Baweja,Love Story 2050,Yes
Harman Baweja,Dishkiyaoon,No
Harsh Chhaya,My Friend Ganesha 2,No
Harsh Mayar,I Am Kalam,Yes
Harshvardhan Deo,Jigariyaa,Yes
Harshvardhan Kapoor,Mirzya,Yes
Harshvardhan Rane,Sanam Teri Kasam,Yes
Hema Malini,Ek Thi Rani Aisi Bhi,No
Hemant Pandey,2 Nights In Soul Valley,No
Himansh Kohli,Yaariyan,Yes
Himansh Kohli,Ranchi Diaries,No
Himanshu Bhatt,Login,Yes
Himanshu Malik,Rain,No
Himesh Reshammiya,The Xpose,No
Himesh Reshammiya,Radio,No
Himesh Reshammiya,Kajraare,No
Himesh Reshammiya,Karzzzz,Yes
Himesh Reshammiya,Teraa Surroor,No
Himesh Reshammiya,Damadamm!,No
Himesh Reshammiya,Aap Kaa Surroor,Yes
Hina Rehman,Www.Sheetal Bhabhi.com,No
Hitesh Agrawal,Shaabash! You Can Do It!,Yes
Hithaishaini,5ters: Castle of Dark Master,Yes
Hrishita Bhatt,Jigyaasa,No
Hrithik Roshan,Kites,No
Hrithik Roshan,Jodhaa Akbar,No
Hrithik Roshan,Mohenjo Daro,No
Hrithik Roshan,Agneepath,No
Hrithik Roshan,Krrish,No
Hrithik Roshan,Krrish 3,No
Hrithik Roshan,Dhoom 2,No
Hrithik Roshan,Kaabil,No
Hrithik Roshan,Guzaarish,No
Hrithik Roshan,Bang Bang,No
Hrithik Roshan,Zindagi Na Milegi Dobara,No
Hussain Dalal,Greater Elephant,Yes
Hussain Kuwajerwala,Shree,Yes
Hyder Ali,Chaska - An Addiction,Yes
Ihad Khan,Aishwarya,Yes
Imaad Shah,Dil Dosti Etc,Yes
Imaad Shah,404,No
Imran,Bhookh - The Hunger Of Body,Yes
Imran Khan,Jaane Tu... Ya Jaane Na,No
Imran Khan,Delhi Belly,No
Imran Khan,Mere Brother Ki Dulhan,No
Imran Khan,Break Ke Baad,No
Imran Khan,Katti Batti,No
Imran Khan,I Hate Luv Storys,No
Imran Khan,Gori Tere Pyaar Mein,No
Imran Khan,Kidnap,No
Imran Khan,Matru Ki Bijlee Ka Mandola,No
Irfan Choudhary,Ziyarat,Yes
Irrfan Khan,Life In A Metro,No
Irrfan Khan,Rog,No
Irrfan Khan,Apna Asmaan,No
Irrfan Khan,Talvar,No
Irrfan Khan,Billu,No
Irrfan Khan,Hindi Medium,No
Irrfan Khan,Yeh Saali Zindagi,No
Irrfan Khan,Qarib Qarib Singlle,No
Irrfan Khan,Paan Singh Tomar,No
Isaiah,C U At 9,Yes
Isha Koppikar,Shabri,No
Ishaan Manhaas,Aashiqui.in,Yes
Ishaan Tandon,Ab To Jaago,Yes
Izabelle Leite,Sixteen,Yes
J.B. Rana,Kaand - Black Scandal,Yes
J.D. Chakravarthi,Bhoot Returns,No
Jackie Shroff,Daal Mein Kuch Kaala Hai!,No
Jackie Shroff,Thodi Life Thoda Magic,No
Jackie Shroff,Maalik Ek,No
Jackie Shroff,Married To America,No
Jackie Shroff,Musaa - The Most Wanted,No
Jackie Shroff,We R Friends,No
Jackie Shroff,Dilliwali Zaalim Girlfriend,No
Jackie Shroff,Bhoot And Friends,No
Jackie Shroff,Kahin Hai Mera Pyar,No
Jackie Shroff,Hum Do Anjaane,No
Jackie Shroff,Bhoot Unkle,No
Jackie Shroff,Ek Second... Jo Zindagi Badal De?,No
Jackie Shroff,Vidyaarthi,No
Jackie Shroff,Mera Dil Leke Dekkho,No
Jackie Shroff,Kitkit + Cricket = Kirkit,No
Jacky Bhagnani,Rangrezz,No
Jacky Bhagnani,F.A.L.T.U,No
Jacky Bhagnani,Ajab Gazabb Love,No
Jacky Bhagnani,Youngistaan,No
Jai Kalra,Www.Love.com,Yes
Jason Lewis,My Bollywood Bride,Yes
Jatin Khurana,Ye Stupid Pyar,Yes
Javed Jaffrey,The Forest,No
Jaya Bachchan,Love Songs,No
Jeet Goswami,Bazaar-E-Husn,No
Jeetendra,Ho Jaata Hai Pyar,No
Jimmy Shergill,Delhii Heights,No
Jimmy Shergill,Strangers,No
Jimmy Shergill,Victoria No. 203,No
Jimmy Shergill,Four Two Ka One,No
Jimmy Shergill,Chhodon Naa Yaar,No
Jimmy Shergill,Rehguzar,No
Jimmy Shergill,A Flat,No
Jimmy Shergill,Bachelor Party,No
Jimmy Shergill,Fugly,No
Jimmy Shergill,Umar,No
Jimmy Shergill,Silsiilay,No
Jimmy Shergill,Bas Ek Pal,No
Jimmy Shergill,Darr @ The Mall,No
Jimmy Shergill,Yahaan,No
Jimmy Shergill,Hastey Hastey - Follow Your Heart,No
John Abraham,Jhoota Hi Sahi,No
John Abraham,Force 2,No
John Abraham,Welcome Back,No
John Abraham,No Smoking,No
John Abraham,Water,No
John Abraham,Kabul Express,No
John Abraham,New York,No
John Abraham,I. Me Aur Main,No
John Abraham,Taxi Number 9 2 11,No
John Abraham,Aashayein,No
John Abraham,Force,No
John Abraham,Rocky Handsome,No
John Abraham,Dishoom,No
John Abraham,Karam,No
John Abraham,Shootout At Wadala,No
